name,industry,rating,pros,cons,position,created_at
BZAM Management Inc.,Cannabis,4,Very friendly people and quick to unload. I had my appointment for a day later and they unloaded me the same day I arrived.,None provided,Google Reviewer,2025-01-07T17:06:19.120656
BZAM Management Inc.,Cannabis,1,None provided,"If you want a good place to work find a place more established. This business would do well to learn from other successful multinational industries and learn about how to encourage positive workplace culture and how to cultivate employee commitment and standards.

Current management is not up to the task.",Employee,2025-01-07T17:06:19.120656
BZAM Management Inc.,Cannabis,1,None provided,"Failed to provide support to me in regard to their products, offered me an amazon giftcard to make up for defective product. Informed Health Canada of this and they said that goes against regulation.

Do not deal with this company.",Google Reviewer,2025-01-07T17:06:19.120656
BZAM Management Inc.,Cannabis,5,"Nice people, the managers and everyone there are super nice",None provided,Employee,2025-01-07T17:06:19.121657
BZAM Management Inc.,Cannabis,1,None provided,Absolutely criminal company.,Google Reviewer,2025-01-07T17:06:19.121657
BZAM Management Inc.,Cannabis,4,Very friendly people and quick to unload. I had my appointment for a day later and they unloaded me the same day I arrived.,None provided,Google Reviewer,2025-01-07T17:06:20.101498
BZAM Management Inc.,Cannabis,1,None provided,"If you want a good place to work find a place more established. This business would do well to learn from other successful multinational industries and learn about how to encourage positive workplace culture and how to cultivate employee commitment and standards.

Current management is not up to the task.",Employee,2025-01-07T17:06:20.102498
BZAM Management Inc.,Cannabis,1,None provided,"Failed to provide support to me in regard to their products, offered me an amazon giftcard to make up for defective product. Informed Health Canada of this and they said that goes against regulation.

Do not deal with this company.",Google Reviewer,2025-01-07T17:06:20.102498
BZAM Management Inc.,Cannabis,5,"Nice people, the managers and everyone there are super nice",None provided,Employee,2025-01-07T17:06:20.102498
BZAM Management Inc.,Cannabis,1,None provided,Absolutely criminal company.,Google Reviewer,2025-01-07T17:06:20.102498
Pure Sunfarms,Cannabis,2,None provided,"Just purchased 28grams of your Kush God indica. Taste and potency is there, but it burns like it wasn't flushed properly.  Canoeing like crazy,  very frustrating.",Customer,2025-01-07T17:11:12.269297
Pure Sunfarms,Cannabis,1,None provided,"Cherry oil cartrridge leaks, out the spout collecting hairs from purse.
Blob of oil on tip, after laying down.
Ive had other cartridges and they dont leak out as bad as yours does.
Please fix this OIL LEAKS OUT.",Google Reviewer,2025-01-07T17:11:12.269297
Pure Sunfarms,Cannabis,5,"My experience with PSF has always been pleasant. The rep for Vancouver Island is one of the best I’ve ever seen, they help make the company even more of a breeze to deal with. Great weed, great vibes, no complaints!",None provided,Google Reviewer,2025-01-07T17:11:12.269297
Pure Sunfarms,Cannabis,1,None provided,"Bought a 7g bag of pink kush, product isn't even hardly smokeable. The flower is brown like it's super old and lacks any  crystal stickiness  and any scent. Biggest waste of money I've spent at the cannabis store to date. I would highly recommend anyone stay away from this producer as I feel they have no quality standards and I am scared for My health to smoke this flower.  The price point was low but they should state on the bag that this is b grade flower at best",Customer,2025-01-07T17:11:12.270297
Pure Sunfarms,Cannabis,5,"I was just saying to someone how some people know how to grow weed… and some people just don’t. Just tried some Kush God and Pure Sunfarms for the win 👏 . Compliments to the chef indeed!

Pure Sunfarms knows how.",None provided,Google Reviewer,2025-01-07T17:11:12.270297
Pure Sunfarms,Cannabis,1,None provided,Usually their products are affordable and decent quality. However when you buy a premium product line and are missing a third as scaled by weight and reach out with no response in over a week I read between the lines. I will not make the mistake of buying from poor customer service companies again. Too many options. Start weighing your product everyone!,Customer,2025-01-07T17:12:15.342902
Pure Sunfarms,Cannabis,1,None provided,"I've tried numerous kinds of strains from this company and they have all been a bad experience from the description of the bud to it being so dry you touch a bud it turns into dust!
Keep away!",Google Reviewer,2025-01-07T17:12:15.342902
